level_0,level_1,0,column1,column2
1930,32,"[82236.14352129669, 32]",82236.14352129669,32
1930,33,"[99744.21847698075, 33]",99744.21847698075,33
1930,34,"[114815.56988885254, 34]",114815.56988885254,34
1930,35,"[127204.16987985972, 35]",127204.16987985972,35
1930,36,"[110883.87488427371, 36]",110883.87488427371,36
1930,37,"[133847.92537280679, 37]",133847.92537280679,37
1930,38,"[142708.6580324866, 38]",142708.6580324866,38
1930,39,"[123157.57188203593, 39]",123157.57188203593,39
1930,40,"[120497.36832938396, 40]",120497.36832938396,40
1930,41,"[132354.30937299534, 41]",132354.30937299534,41
1930,42,"[152935.40448049613, 42]",152935.40448049613,42
1930,43,"[121537.76594065028, 43]",121537.76594065028,43
1930,44,"[76641.71520217406, 44]",76641.71520217406,44
1930,45,"[98001.76122901998, 45]",98001.76122901998,45
1930,46,"[115710.67948310389, 46]",115710.67948310389,46
1930,47,"[100112.87988878148, 47]",100112.87988878148,47
1930,48,"[99031.66078598263, 48]",99031.66078598263,48
1930,49,"[106132.23086433759, 49]",106132.23086433759,49
1930,50,"[125490.74977399276, 50]",125490.74977399276,50
1930,51,"[106642.03915793906, 51]",106642.03915793906,51
1930,52,"[121849.19394186116, 52]",121849.19394186116,52
1930,53,"[145158.9447429392, 53]",145158.9447429392,53
1930,54,"[147815.35343173498, 54]",147815.35343173498,54
1930,55,"[188730.64326163923, 55]",188730.64326163923,55
1930,56,"[220116.54923604982, 56]",220116.54923604982,56
1930,57,"[224871.0666995485, 57]",224871.0666995485,57
1930,58,"[252755.07897029252, 58]",252755.07897029252,58
1930,59,"[320139.5830237725, 59]",320139.5830237725,59
1930,60,"[293055.77429996134, 60]",293055.77429996134,60
1930,61,"[369308.8867728113, 61]",369308.8867728113,61
1930,62,"[385853.9249002332, 62]",385853.9249002332,62
1930,63,"[412786.5288582695, 63]",412786.5288582695,63
1930,64,"[407709.2545533128, 64]",407709.2545533128,64
1930,65,"[547838.9253432864, 65]",547838.9253432864,65
1930,66,"[655927.5453135167, 66]",655927.5453135167,66
1930,67,"[858018.8220246113, 67]",858018.8220246113,67
1930,68,"[1087796.262562802, 68]",1087796.262562802,68
1930,69,"[1290996.6044095336, 69]",1290996.6044095336,69
1930,70,"[1131042.1251231923, 70]",1131042.1251231923,70
1930,71,"[964778.9327300831, 71]",964778.9327300831,71
1930,72,"[737573.4940721486, 72]",737573.4940721486,72
1930,73,"[929932.6613261648, 73]",929932.6613261648,73
1930,74,"[1005071.2203613189, 74]",1005071.2203613189,74
1930,75,"[1019544.2459345219, 75]",1019544.2459345219,75
1930,76,"[1145763.8235812157, 76]",1145763.8235812157,76
